City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Santa Fe,AR,2022-04-05 17:25:30,-31.6333,-60.7,82.02,47,0,4.0
203,Varnamo,SE,2022-04-05 17:28:50,57.186,14.04,37.06,65,97,12.03
204,Gat,IL,2022-04-05 17:28:50,31.61,34.7642,81.28,31,91,3.49
205,Flin Flon,CA,2022-04-05 17:28:51,54.7682,-101.865,40.84,56,20,9.22
206,Vizinga,RU,2022-04-05 17:28:51,61.0749,50.1031,18.54,95,97,2.24
207,Sulangan,PH,2022-04-05 17:28:51,11.1373,123.7228,80.83,79,94,8.34
208,San Rafael,AR,2022-04-05 17:25:17,-34.6177,-68.3301,80.33,17,0,6.67
209,Moron,AR,2022-04-05 17:28:52,-34.6534,-58.6198,75.99,44,0,5.3
210,Bud,US,2022-04-05 17:28:52,39.447,-86.1758,55.38,93,100,10.25
211,Tete,MZ,2022-04-05 17:28:53,-16.1564,33.5867,84.31,64,99,2.89
212,Kieta,PG,2022-04-05 17:28:53,-6.2167,155.6333,78.28,87,100,5.26
213,Miles City,US,2022-04-05 17:28:53,46.4083,-105.8406,43.77,39,100,31.07
214,Nouadhibou,MR,2022-04-05 17:28:54,20.931,-17.0347,73.38,49,0,26.46
215,Sann,PK,2022-04-05 17:28:54,26.0418,68.1378,85.91,13,1,13.87
216,Zwedru,LR,2022-04-05 17:28:54,6.0667,-8.1281,89.73,49,96,3.42
217,Sibolga,ID,2022-04-05 17:28:55,1.7427,98.7792,76.62,88,96,3.71
218,Bubaque,GW,2022-04-05 17:28:55,11.2833,-15.8333,76.21,74,3,21.43
219,Tuatapere,NZ,2022-04-05 17:28:55,-46.1333,167.6833,50.59,82,99,12.48
220,Puri,IN,2022-04-05 17:28:56,19.8,85.85,81.12,87,14,18.07
221,Anadyr,RU,2022-04-05 17:20:20,64.75,177.4833,-12.5,77,0,11.18
222,Thunder Bay,CA,2022-04-05 17:26:05,48.4001,-89.3168,36.28,93,100,16.11
223,San Roque,ES,2022-04-05 17:28:56,36.2107,-5.3842,56.23,82,75,9.22
224,Dongsheng,CN,2022-04-05 17:29:57,39.8161,109.9776,50.52,18,62,7.07
