City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Kaeo,NZ,63.12,overcast clouds,-35.1,173.7833,Bushido Lodge
397,Green Valley,US,70.25,scattered clouds,31.8543,-110.9937,Best Western Green Valley Inn
398,Halifax,CA,54.52,scattered clouds,44.6453,-63.5724,Hotel Halifax
399,Port Macquarie,AU,63.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
402,Byron Bay,AU,65.95,broken clouds,-28.65,153.6167,Backpackers Inn
405,Reconquista,AR,74.66,clear sky,-29.15,-59.65,Grand Hotel
407,Kaitong,CN,54.37,scattered clouds,44.8135,123.15,Jinhe Fashion Hotel
413,Margate,GB,53.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
414,Ngawen,ID,76.08,overcast clouds,-7.0032,111.3129,Bu Sarpi serabi
415,Ballina,AU,66.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
416,Boa Esperanca,BR,77.9,broken clouds,-21.09,-45.5658,Hotel do Lago
424,Ponta Delgada,PT,61.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
427,Kununurra,AU,69.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
428,Dublin,US,53.01,clear sky,37.7021,-121.9358,Larkspur Landing Pleasanton
432,Terrasini,IT,70.12,overcast clouds,38.146,13.0844,Florio Park Hotel
433,Mudu,CN,61.86,overcast clouds,31.252,120.5118,Jinjiang Inn
434,Juye,CN,71.24,clear sky,35.3947,116.0883,Thank Inn Chain Hotel shandong heze juye county shanghai jiayuan
437,Dothan,US,51.21,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
439,Viedma,AR,63.09,overcast clouds,-40.8135,-62.9967,Hotel Cristal
441,Coolum Beach,AU,71.11,overcast clouds,-26.5333,153.1,Coolum Beach Resort
442,Xichang,CN,58.23,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
443,Mount Gambier,AU,59.16,clear sky,-37.8333,140.7667,The Commodore
444,Tekirdag,TR,74.55,clear sky,40.978,27.5085,Tekirdağ Yat Hotel
445,Arkhipo-Osipovka,RU,51.85,broken clouds,44.37,38.52,Zolotoy Kashtan Guest House
448,Laguna,US,59.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
449,Methoni,GR,71.46,clear sky,36.8197,21.7049,Methoni Beach Hotel
457,Christchurch,NZ,55.9,scattered clouds,-43.5333,172.6333,The George
459,Palmares Do Sul,BR,73.54,broken clouds,-30.2578,-50.5097,Hotel Campos Dourados.
471,Capao Da Canoa,BR,70.03,overcast clouds,-29.7456,-50.0097,Hotel Araçá
473,Bintulu,MY,77.34,overcast clouds,3.1667,113.0333,900 Boutique INN
476,Codrington,AU,65.14,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
482,Rockport,US,71.64,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
485,Crestview,US,55.26,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
487,Taltal,CL,66.24,few clouds,-25.4,-70.4833,Residencial Karime
489,Deder,ET,70.63,broken clouds,9.3167,41.45,Entoto Hotel
491,Salcedo,PH,77.49,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
494,Linxia,CN,61.23,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
495,Ishcherskaya,RU,66.51,clear sky,43.7153,45.1264,"МИРАЖ+, усадьба"
497,Makakilo City,US,72.19,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
498,Emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
501,Port Lincoln,AU,68.02,few clouds,-34.7333,135.8667,Port Lincoln Hotel
502,Ha Giang,VN,72.07,scattered clouds,22.8333,104.9833,Truong Xuan Resort
504,Canico,PT,68.72,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
506,Erzin,TR,66.56,clear sky,36.9559,36.2,Artemis Otel
507,El Prat De Llobregat,ES,60.55,few clouds,41.3278,2.0947,Hotel Porta Fira
510,Ruteng,ID,62.31,broken clouds,-8.6136,120.4721,Hotel FX 72
511,Martil,MA,70.41,clear sky,35.6166,-5.2752,فندق مرتيل
512,Batemans Bay,AU,65.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
513,Boyabat,TR,72.0,clear sky,41.4689,34.7667,Kolaz Palas Otel
514,Sal Rei,CV,77.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
519,Quzhou,CN,65.73,scattered clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
522,Jiaocheng,CN,68.09,clear sky,24.6774,116.1389,Changtan Tourism Resort
524,Oyama,JP,67.59,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
525,Tongchuan,CN,67.55,clear sky,35.0806,109.0897,Tongchuan Hotel
530,Anuradhapura,LK,77.76,moderate rain,8.3565,80.4173,Nilketha Villa Eco Hotel
531,Kendari,ID,77.14,broken clouds,-3.945,122.4989,Hotel Wixel
533,Pimentel,PE,73.69,scattered clouds,-6.8367,-79.9342,Hotel Puerto del Sol
535,Saint-Denis,FR,52.36,broken clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
543,Challapata,BO,53.73,broken clouds,-18.9,-66.7667,HOSTAL MARIAN
544,Canberra,AU,60.78,overcast clouds,-35.2835,149.1281,Novotel Canberra
547,Clonakilty,IE,51.1,overcast clouds,51.6231,-8.8706,Inchydoney Island Lodge & Spa
548,Tecpan,GT,60.62,broken clouds,14.7623,-90.9947,Villa San Ricardo
554,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
