City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Borba,BR,-4.3878,-59.5939,79.09,84,100,4.38,overcast clouds
202,Carnarvon,AU,-24.8667,113.6333,73.47,68,0,19.57,clear sky
203,Chuy,UY,-33.6971,-53.4616,74.28,61,0,4.59,clear sky
204,Senador Jose Porfirio,BR,-2.5908,-51.9542,80.47,78,99,2.19,overcast clouds
205,Marawi,PH,7.9986,124.2928,66.74,95,100,1.03,overcast clouds
206,Jati,PK,24.3539,68.2671,89.56,34,90,17.07,overcast clouds
207,Bayan,CN,46.0833,127.4,52.14,38,100,5.48,overcast clouds
208,Gazimurskiy Zavod,RU,51.5461,118.3266,35.92,77,100,8.14,overcast clouds
209,Oussouye,SN,12.485,-16.5469,98.56,20,16,4.56,few clouds
210,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,73,100,6.44,overcast clouds
211,Tambopata,PE,-12.7333,-69.1833,80.49,78,75,3.44,broken clouds
212,Pilar,BR,-9.5972,-35.9567,85.93,66,65,9.01,broken clouds
213,Nome,US,64.5011,-165.4064,21.27,100,100,6.91,overcast clouds
214,Dakar,SN,14.6937,-17.4441,99.48,74,8,15.84,clear sky
215,Mareeba,AU,-17.0,145.4333,72.45,89,50,2.28,scattered clouds
216,Ulaanbaatar,MN,47.9077,106.8832,32.13,69,20,13.42,few clouds
217,Sault Sainte Marie,CA,46.5168,-84.3333,30.76,69,100,10.36,overcast clouds
218,San Quintin,MX,30.4833,-115.95,64.22,62,9,2.04,clear sky
219,Hasaki,JP,35.7333,140.8333,54.0,81,0,16.58,clear sky
220,Camana,PE,-16.6228,-72.7111,71.69,74,32,8.41,scattered clouds
221,Eyl,SO,7.9803,49.8164,83.19,69,99,13.71,overcast clouds
222,Katsuura,JP,35.1333,140.3,62.78,83,0,18.23,clear sky
223,Tuatapere,NZ,-46.1333,167.6833,46.42,90,42,4.97,scattered clouds
224,Atambua,ID,-9.1061,124.8925,72.73,89,93,4.81,overcast clouds
225,Omboue,GA,-1.5746,9.2618,72.27,95,100,4.21,moderate rain
226,Tessalit,ML,20.1986,1.0114,99.03,7,0,16.46,clear sky
227,Riyadh,SA,24.6877,46.7219,98.74,5,100,7.27,overcast clouds
228,Cayenne,GF,4.9333,-52.3333,86.04,1,40,19.57,scattered clouds
229,Tahoua,NE,14.8888,5.2692,107.44,5,6,4.65,clear sky
230,Tanout,NE,14.9709,8.8879,105.98,3,8,6.35,clear sky
231,Usinsk,RU,65.9939,57.5281,34.47,89,97,13.94,overcast clouds
232,Mitchell,US,43.7094,-98.0298,38.1,57,0,16.11,clear sky
233,Piacabucu,BR,-10.4056,-36.4344,84.11,69,38,9.66,scattered clouds
234,Cape Canaveral,US,28.4058,-80.6048,65.07,46,0,12.66,clear sky
235,Capinota,BO,-17.7167,-66.2333,71.01,54,100,4.83,overcast clouds
236,Santa Isabel,BR,-23.3156,-46.2214,79.9,68,83,0.51,broken clouds
237,Orodara,BF,10.9492,-4.9342,102.74,21,10,3.65,clear sky
238,Nan,TH,18.8333,100.6667,83.16,45,26,1.1,scattered clouds
239,Umm Kaddadah,SD,13.6017,26.6876,103.14,7,0,8.84,clear sky
240,Imbituba,BR,-28.24,-48.6703,75.45,71,32,5.3,scattered clouds
241,Westport,US,41.1415,-73.3579,55.44,87,100,3.0,overcast clouds
242,Choa Saidan Shah,PK,32.7201,72.9849,85.21,15,0,10.69,clear sky
243,Coahuayana,MX,18.7333,-103.6833,77.74,45,0,2.26,clear sky
244,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,69,12,21.5,few clouds
245,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,77.56,62,9,2.55,clear sky
246,Vostok,RU,46.4856,135.8833,23.56,97,18,4.05,few clouds
247,Mwense,ZM,-10.3845,28.698,74.7,85,79,6.53,light rain
248,Progreso,MX,21.2833,-89.6667,75.31,46,28,15.08,scattered clouds
249,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.83,76,77,10.67,broken clouds
250,Helena,US,46.5927,-112.0361,36.59,46,100,14.0,overcast clouds
251,Garden City,US,42.3256,-83.331,37.89,72,75,12.66,broken clouds
252,Karratha,AU,-20.7377,116.8463,85.59,45,6,12.28,clear sky
253,Nosy Varika,MG,-20.5833,48.5333,78.69,71,13,8.25,few clouds
254,Kontagora,NG,10.3999,5.4695,107.17,17,13,3.29,few clouds
255,Saint George,US,37.1041,-113.5841,52.39,24,0,4.61,clear sky
256,Ascension,US,30.2169,-90.9001,59.05,64,0,0.0,clear sky
257,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,20,11.5,few clouds
258,Rawson,AR,-43.3002,-65.1023,62.65,73,58,22.19,broken clouds
259,Olinda,BR,-8.0089,-34.8553,83.93,74,75,12.66,broken clouds
260,Jacqueville,CI,5.2052,-4.4146,82.72,79,47,11.81,scattered clouds
261,Mehamn,NO,71.0357,27.8492,35.6,98,100,29.73,overcast clouds
262,Mackenzie,CA,55.2999,-123.1698,30.42,93,75,3.44,broken clouds
263,North Bend,US,43.4065,-124.2243,42.71,94,75,4.61,broken clouds
264,Kavaratti,IN,10.5669,72.642,84.27,75,93,9.15,overcast clouds
265,Ulladulla,AU,-35.35,150.4667,63.77,92,57,4.76,broken clouds
266,Tromso,NO,69.6496,18.957,41.02,56,0,8.05,clear sky
267,Walvis Bay,NA,-22.9575,14.5053,60.1,54,22,12.1,few clouds
268,Keffi,NG,8.8486,7.8736,99.3,31,87,10.04,overcast clouds
269,Alta Floresta,BR,-9.8756,-56.0861,83.07,70,98,2.59,overcast clouds
270,Bogo,PH,11.0517,124.0055,74.93,94,100,7.74,light rain
271,Port-Cartier,CA,50.0334,-66.8654,32.76,100,100,1.97,overcast clouds
272,Katobu,ID,-4.9408,122.5276,75.56,91,100,2.84,overcast clouds
273,Gamarra,CO,8.3228,-73.7427,83.19,72,90,1.34,overcast clouds
274,San Patricio,US,28.017,-97.5169,71.47,56,0,9.46,clear sky
275,Klaksvik,FO,62.2266,-6.589,34.72,56,100,14.79,overcast clouds
276,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
277,Carbonia,IT,39.1672,8.5222,68.02,55,15,17.38,few clouds
278,Inirida,CO,3.8653,-67.9239,83.88,74,83,2.73,broken clouds
279,Urzhum,RU,57.1141,49.9996,37.89,100,100,7.43,overcast clouds
280,Katangli,RU,51.7102,143.2326,20.53,97,73,5.53,broken clouds
281,Filingue,NE,14.3521,3.3168,110.61,7,2,6.4,clear sky
282,Bonavista,CA,48.6499,-53.1147,34.03,81,98,16.8,overcast clouds
